seqnames	start	end	width	strand	peak	feature	feature.ranges.start	feature.ranges.end	feature.ranges.width	feature.strand	distance	insideFeature	distanceToSite	symbol
chr20	57608924	57609043	120	*	X11627	514	57603733	57607422	3690	-	1501	upstream	1501	ATP5F1E
chr20	60907760	60907849	90	*	X11685	100616340	60907543	60907613	71	-	146	upstream	146	MIR4758
chr20	60908510	60908599	90	*	X11686	100616340	60907543	60907613	71	-	896	upstream	896	MIR4758
chr20	60909069	60909158	90	*	X11687	100616340	60907543	60907613	71	-	1455	upstream	1455	MIR4758
chr20	61916305	61916393	89	*	X11728	100422945	61918160	61918218	59	+	1766	upstream	1766	MIR4326
chr20	62260177	62260281	105	*	X11741	26205	62218955	62258381	39427	-	1795	upstream	1795	GMEB2
chr20	62325516	62325629	114	*	X11749	8771	62327131	62330051	2921	+	1501	upstream	1501	TNFRSF6B
chr20	62492752	62492770	19	*	X11755	140701	62492566	62494341	1776	+	0	inside	185	ABHD16B
chr20	62573018	62573291	274	*	X11773	100302137	62572818	62572897	80	-	120	upstream	120	MIR1914
chr20	62573752	62573856	105	*	X11774	100302137	62572818	62572897	80	-	854	upstream	854	MIR1914
chr20	62574532	62574651	120	*	X11775	100302137	62572818	62572897	80	-	1634	upstream	1634	MIR1914
chr20	62574532	62574651	120	*	X11775	693232	62573984	62574079	96	-	452	upstream	452	MIR647
chr20	62575702	62575737	36	*	X11776	693232	62573984	62574079	96	-	1622	upstream	1622	MIR647
chr20	62575822	62575926	105	*	X11777	693232	62573984	62574079	96	-	1742	upstream	1742	MIR647
chr20	62589785	62589919	135	*	X11783	54963	62571182	62587800	16619	-	1984	upstream	1984	UCKL1
chr20	62663704	62663808	105	*	X11790	284739	62665697	62671315	5619	+	1888	upstream	1888	C20orf204
chr22	29196127	29196261	135	*	X12263	7494	29190548	29196560	6013	-	0	inside	298	XBP1
chr22	29730182	29730188	7	*	X12270	100500833	29729147	29729256	110	-	925	upstream	925	NA
chr22	30697007	30697126	120	*	X12291	652968	30681107	30695540	14434	-	1466	upstream	1466	CASTOR1
chr22	50175179	50175298	120	*	X12483	90834	50171538	50173958	2421	-	1220	upstream	1220	NA
chr22	50684924	50685043	120	*	X12494	85378	50656118	50683400	27283	-	1523	upstream	1523	TUBGCP6
chr3	9743765	9743914	150	*	X12548	151835	9745510	9771592	26083	+	1595	upstream	1595	CPNE9
chr3	10319876	10319995	120	*	X12571	100126793	10320905	10335133	14229	+	909	upstream	909	GHRLOS
chr3	10320176	10320280	105	*	X12572	100126793	10320905	10335133	14229	+	624	upstream	624	GHRLOS
chr3	10321033	10321165	133	*	X12573	100126793	10320905	10335133	14229	+	0	inside	127	GHRLOS
chr3	43394828	43394917	90	*	X12744	100873954	43388411	43393454	5044	-	1373	upstream	1373	SNRK-AS1
chr3	47890089	47890164	76	*	X12795	100302232	47891045	47891119	75	+	880	upstream	880	MIR1226
chr3	47890502	47890621	120	*	X12796	100302232	47891045	47891119	75	+	423	upstream	423	MIR1226
chr3	49068029	49068163	135	*	X12837	3615	49061762	49066875	5114	-	1153	upstream	1153	IMPDH2
chr3	49068800	49068823	24	*	X12838	3615	49061762	49066875	5114	-	1924	upstream	1924	IMPDH2
chr3	49315400	49315489	90	*	X12844	375341	49306030	49314508	8479	-	891	upstream	891	C3orf62
chr3	49396408	49396440	33	*	X12848	2876	49394609	49395791	1183	-	616	upstream	616	GPX1
chr3	49396465	49396542	78	*	X12849	2876	49394609	49395791	1183	-	673	upstream	673	GPX1
chr3	49758349	49758468	120	*	X12854	386724	49754267	49757238	2972	-	1110	upstream	1110	AMIGO3
chr3	50139509	50139591	83	*	X12861	100775107	50137036	50138421	1386	-	1087	upstream	1087	RBM5-AS1
chr3	50367536	50367610	75	*	X12876	11334	50362341	50365668	3328	-	1867	upstream	1867	TUSC2
chr3	52029603	52029689	87	*	X12883	6159	52027644	52029958	2315	-	0	inside	268	RPL29
chr3	132403718	132403822	105	*	X13166	100532724	132297640	132403638	105999	-	79	upstream	79	NPHP3-ACAD11
chr3	148802177	148802270	94	*	X13225	100873945	148804119	148820610	16492	+	1848	upstream	1848	HLTF-AS1
chr3	183544859	183544889	31	*	X13304	79929	183533664	183543393	9730	-	1465	upstream	1465	MAP6D1
chr3	184042963	184043019	57	*	X13345	692107	184043484	184043559	76	+	464	upstream	464	SNORD66
chr3	184052431	184052565	135	*	X13346	131408	184053717	184064063	10347	+	1151	upstream	1151	FAM131A
chr3	184052671	184052687	17	*	X13347	131408	184053717	184064063	10347	+	1029	upstream	1029	FAM131A
chr4	2253268	2253303	36	*	X13506	100616358	2251804	2251883	80	-	1384	upstream	1384	MIR4800
chr4	10080306	10080349	44	*	X13603	100423011	10080235	10080316	82	-	0	overlapStart	0	MIR3138
chr4	89619088	89619220	133	*	X13739	266812	89617066	89619023	1958	-	64	upstream	64	NAP1L5
chr4	100868570	100868689	120	*	X13743	79982	100817407	100867883	50477	-	686	upstream	686	DNAJB14
chr4	141565447	141565581	135	*	X13787	644962	141562345	141564234	1890	-	1212	upstream	1212	TNRC18P1
chr4	141565612	141565686	75	*	X13788	644962	141562345	141564234	1890	-	1377	upstream	1377	TNRC18P1
chr5	1063615	1063644	30	*	X13861	100616479	1063011	1063089	79	-	525	upstream	525	MIR4635
chr5	140073000	140073089	90	*	X14261	3035	140053490	140071312	17823	-	1687	upstream	1687	HARS1
chr5	170815681	170815698	18	*	X14364	100500831	170813660	170813764	105	-	1916	upstream	1916	MIR3912
chr5	179225833	179225907	75	*	X14475	100302156	179225278	179225346	69	-	486	upstream	486	MIR1229
chr5	179227243	179227332	90	*	X14476	100302156	179225278	179225346	69	-	1896	upstream	1896	MIR1229
chr5	180256814	180256903	90	*	X14499	729678	180257957	180262726	4770	+	1053	upstream	1053	LINC00847
chr6	8087293	8087397	105	*	X14561	100124533	8086641	8086766	126	-	526	upstream	526	SCARNA27
chr6	8088148	8088237	90	*	X14562	100124533	8086641	8086766	126	-	1381	upstream	1381	SCARNA27
chr6	41564568	41564629	62	*	X14939	100616178	41566461	41566526	66	+	1831	upstream	1831	MIR4641
chr6	42987984	42988124	141	*	X14969	88745	42989385	42997337	7953	+	1260	upstream	1260	RRP36
chr6	43007851	43007872	22	*	X14973	89953	43008515	43042833	34319	+	642	upstream	642	KLC4
chr6	43480015	43480104	90	*	X14988	221424	43474703	43478081	3379	-	1933	upstream	1933	LRRC73
chr6	44222480	44222584	105	*	X15021	100616124	44221943	44222022	80	-	457	upstream	457	MIR4647
chr6	149720605	149720686	82	*	X15211	387082	149721495	149722182	688	+	808	upstream	808	SUMO4
chr6	159186646	159186780	135	*	X15260	100500851	159185693	159185785	93	-	860	upstream	860	MIR3918
chr6	159237187	159237276	90	*	X15266	101409257	159239011	159243272	4262	+	1734	upstream	1734	EZR-AS1
chr7	4828594	4828641	48	*	X15428	100616465	4828196	4828270	75	-	323	upstream	323	MIR4656
chr7	5537484	5537618	135	*	X15471	693174	5535450	5535548	99	-	1935	upstream	1935	MIR589
chr7	5720545	5720649	105	*	X15481	100874342	5702063	5720092	18030	-	452	upstream	452	RNF216-IT1
chr7	56126519	56126638	120	*	X15657	677803	56128163	56128295	133	+	1524	upstream	1524	SNORA15
chr7	73095865	73095969	105	*	X15694	114049	73097898	73119491	21594	+	1928	upstream	1928	BUD23
chr7	100171894	100171894	1	*	X15890	100316904	100169853	100171270	1418	-	623	upstream	623	SAP25
chr7	100172548	100172809	262	*	X15891	100316904	100169853	100171270	1418	-	1277	upstream	1277	SAP25
chr7	100173170	100173274	105	*	X15892	100316904	100169853	100171270	1418	-	1899	upstream	1899	SAP25
chr7	100472931	100473110	180	*	X15927	51593	100472701	100486285	13585	+	0	inside	229	SRRT
chr7	100802285	100802344	60	*	X15934	100616117	100802754	100802836	83	+	409	upstream	409	MIR4653
chr7	100802465	100802614	150	*	X15935	100616117	100802754	100802836	83	+	139	upstream	139	MIR4653
chr7	100882761	100882895	135	*	X15946	24146	100875373	100882101	6729	-	659	upstream	659	CLDN15
chr7	100883721	100883960	240	*	X15947	24146	100875373	100882101	6729	-	1619	upstream	1619	CLDN15
chr7	104632217	104632351	135	*	X16002	100216546	104622194	104631612	9419	-	604	upstream	604	LINC01004
chr7	127231661	127231780	120	*	X16039	29999	127231463	127241851	10389	+	0	inside	197	FSCN3
chr7	127721597	127721731	135	*	X16051	693178	127721913	127722012	100	+	181	upstream	181	MIR593
chr7	127949682	127949692	11	*	X16055	157247	127937738	127947816	10079	-	1865	upstream	1865	NA
chr7	127949708	127949827	120	*	X16056	157247	127937738	127947816	10079	-	1891	upstream	1891	NA
chr7	128506518	128506583	66	*	X16060	100130705	128506464	128512101	5638	+	0	inside	53	ATP6V1FNB
chr8	22499421	22499510	90	*	X16317	80094	22497884	22499722	1839	-	0	inside	211	BIN3-IT1
chr8	144661446	144661610	165	*	X16675	93100	144656955	144660513	3559	-	932	upstream	932	NAPRT
chr8	144661686	144661895	210	*	X16676	93100	144656955	144660513	3559	-	1172	upstream	1172	NAPRT
chr8	144898362	144898486	125	*	X16712	23513	144873090	144897549	24460	-	812	upstream	812	SCRIB
chr8	144898967	144899086	120	*	X16713	23513	144873090	144897549	24460	-	1417	upstream	1417	SCRIB
chr8	144948979	144949132	154	*	X16718	83481	144939912	144947434	7523	-	1544	upstream	1544	EPPK1
chr8	145580339	145580398	60	*	X16769	340393	145576886	145579269	2384	-	1069	upstream	1069	TMEM249
chr8	145580339	145580398	60	*	X16769	79581	145582217	145584948	2732	+	1818	upstream	1818	SLC52A2
chr8	145620082	145620101	20	*	X16774	100126351	145619364	145619445	82	-	636	upstream	636	MIR939
chr8	145620610	145620629	20	*	X16775	100126351	145619364	145619445	82	-	1164	upstream	1164	MIR939
chr8	145620922	145620984	63	*	X16776	100126351	145619364	145619445	82	-	1476	upstream	1476	MIR939
chr8	145625870	145625942	73	*	X16780	100302196	145625476	145625559	84	-	310	upstream	310	MIR1234
chr8	145626230	145626289	60	*	X16781	100302196	145625476	145625559	84	-	670	upstream	670	MIR1234
chr8	146014278	146014397	120	*	X16814	80778	145998501	146012725	14225	-	1552	upstream	1552	ZNF34
chr9	35607742	35607858	117	*	X16898	100616214	35608091	35608156	66	+	232	upstream	232	MIR4667
chr9	95378304	95378423	120	*	X16987	100128361	95380332	95382817	2486	+	1908	upstream	1908	LOC100128361
chr9	96938461	96938550	90	*	X17030	406888	96938629	96938715	87	+	78	upstream	78	MIRLET7F1
chr9	97846914	97846956	43	*	X17045	407011	97847490	97848370	881	+	533	upstream	533	MIR23B
chr9	104162495	104162584	90	*	X17080	54534	104151122	104160919	9798	-	1575	upstream	1575	MRPL50
chr9	114693666	114693785	120	*	X17123	100616114	114694380	114694449	70	+	594	upstream	594	MIR4668
chr9	125643122	125643241	120	*	X17200	692206	125642492	125642598	107	-	523	upstream	523	SNORD90
chr9	125643917	125644021	105	*	X17201	692206	125642492	125642598	107	-	1318	upstream	1318	SNORD90
chr9	125795764	125795883	120	*	X17203	2844	125795922	125797944	2023	+	38	upstream	38	GPR21
chr9	130555138	130555242	105	*	X17288	2356	130556876	130576556	19681	+	1633	upstream	1633	FPGS
chr9	130556509	130556588	80	*	X17289	2356	130556876	130576556	19681	+	287	upstream	287	FPGS
chr9	130700623	130700703	81	*	X17296	8818	130697374	130700763	3390	-	0	inside	59	DPM2
chr9	130702651	130702770	120	*	X17297	8818	130697374	130700763	3390	-	1887	upstream	1887	DPM2
chr9	131681219	131681323	105	*	X17373	254295	131683174	131704320	21147	+	1850	upstream	1850	PHYHD1
chr9	136203533	136203581	49	*	X17503	6838	136197552	136203047	5496	-	485	upstream	485	SURF6
chr9	136212969	136213088	120	*	X17506	6130	136215069	136218280	3212	+	1980	upstream	1980	RPL7A
chr9	136213299	136213388	90	*	X17507	6130	136215069	136218280	3212	+	1680	upstream	1680	RPL7A
chr9	136225274	136225327	54	*	X17511	6834	136218666	136223361	4696	-	1912	upstream	1912	SURF1
chr9	137271129	137271293	165	*	X17568	100616236	137271257	137271318	62	+	0	overlapStart	0	MIR4669
chr9	138393671	138393706	36	*	X17606	138162	138387026	138392364	5339	-	1306	upstream	1306	C9orf116
chr9	138394187	138394441	255	*	X17607	138162	138387026	138392364	5339	-	1822	upstream	1822	C9orf116
chr9	139837621	139837725	105	*	X17660	733	139839698	139841426	1729	+	1972	upstream	1972	C8G
chr9	140084884	140085033	150	*	X17704	29882	140069236	140083057	13822	-	1826	upstream	1826	ANAPC2
chrX	20154218	20154274	57	*	X17793	100158262	20154184	20154531	348	-	0	inside	256	SCARNA9L
chrX	47062293	47062312	20	*	X17827	8552	47064247	47065254	1008	+	1934	upstream	1934	INE1
chrX	47062448	47062552	105	*	X17828	8552	47064247	47065254	1008	+	1694	upstream	1694	INE1
chrX	47062988	47063087	100	*	X17829	8552	47064247	47065254	1008	+	1159	upstream	1159	INE1
chrX	73507389	73507508	120	*	X17910	442919	73507121	73507192	72	-	196	upstream	196	MIR374A
chrX	73507389	73507508	120	*	X17910	664614	73506939	73507044	106	-	344	upstream	344	MIR545
chrX	102944587	102944648	62	*	X17924	9643	102930426	102943086	12661	-	1500	upstream	1500	MORF4L2
chrX	153061415	153061489	75	*	X18010	3421	153051221	153059978	8758	-	1436	upstream	1436	IDH3G
chrX	153627900	153628004	105	*	X18045	26778	153628622	153628756	135	+	617	upstream	617	SNORA70
chrX	153664220	153664344	125	*	X18051	2664	153665259	153671814	6556	+	914	upstream	914	GDI1
chrX	153670630	153670704	75	*	X18053	9130	153672473	153679002	6530	+	1768	upstream	1768	FAM50A
chrX	153670955	153671044	90	*	X18054	9130	153672473	153679002	6530	+	1428	upstream	1428	FAM50A
chrX	153671165	153671359	195	*	X18055	9130	153672473	153679002	6530	+	1113	upstream	1113	FAM50A
chrX	154002556	154002690	135	*	X18073	677835	154003273	154003401	129	+	582	upstream	582	SNORA56
